# Copyright (c) 2000, Red Hat, Inc.
# 
# This file is part of Source-Navigator.
# 
# Source-Navigator is free software; you can redistribute it and/or
# modify it under the terms of the GNU General Public License as published
# by the Free Software Foundation; either version 2, or (at your option)
# any later version.
# 
# Source-Navigator is distributed in the hope that it will be useful,
# but WITHOUT ANY WARRANTY; without even the implied warranty of
# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the GNU
# General Public License for more details.
# 
# You should have received a copy of the GNU General Public License along
# with Source-Navigator; see the file COPYING.  If not, write to
# the Free Software Foundation, 59 Temple Place - Suite 330, Boston,
# MA 02111-1307, USA.
###############################################################################
#
# japanese.txt
#
# Copyright (C) 1998-2000 Red Hat, Inc.
#
# Description:
# This file maps short tokens which are used in the program source onto the
# strings that are actually displayed at run-time.
#
# The format is:
#
#	<token>,<value>
#
# A <value> cannot have embedded newlines.
#
# In some contexts, a left bracket indicates that the next character
# will be underlined in the interface; for instance this works for
# menu items.
#
# Entries in this file can appear in any order.
#
# Any changes to this file must be mirrored in other message catalogs.
# If you don't know the language, put an entry in with `???' as the
# "translation".  Then send email to the S-N list asking that someone
# update the entry.
#
# Part of the token name is sometimes used to indicate usage.
# Balloon help text tokens are usually suffixed with "INFO".
#
###############################################################################

EditPreferences,設定を表示([F)...
DonotDisplayWarningINFO,検索条件に一致した複数のシンボルをリストする前に警告ダイアログを表示するかしないかを指定
CannotCloseWindow,処理中の Source-Navigator
プロセスがあるのでこのウィンドウを閉じることができません。\n処理をキャンセルするか処理が終了するまでお待ちください。
CannotProceed,別のプロセスが Source-Navigator
データベースを使用中です。\nそのプロセスをキャンセルするか処理が完了するまでお待ちください。
CancelXref,Source-Navigator がクロスリファレンス
データベースを作成中です。\nこのプロセスをキャンセルすると関連するクロスリファレンス ファイルがすべて削除されます。
XrefGeneration,クロスリファレンス プロセス
DoYouWantToReparse,プロセスを再度パーサーで処理しますか?\nクロスリファレンス情報の再作成に多少時間がかかる場合があります。
AddDirectory,ディレクトリを追加
YouHaveAddedSomeDirectories,以下のディレクトリが指定されました。
DoYouWantToInitProjEditor,これらの内容でプロジェクト
エディタを初期化しますか? more,ディレクトリを追加

#Debugger text variables (DON'T REMOVE1)
DbgProgram,プログラム
DbgWorkdir,ワーキングディレクトリ
DbgProgXterm,[Xterm
DbgExecutable,[Program to debug

SelectDirectory,ディレクトリを選択
Pattern,パターン:
WaitOrCancelXRef,クロスリファレンス情報をロード中です。\nしばらくお待ちください。
WaitOrCancelRetriever,シンボルをロード中です。\nしばらくお待ちください。
ActiveSymbol,ビュー内のアクティブなシンボル
ListRelatedSymbols,ビューに関連した別のシンボルを選択
Compile,コンパイル([C)
CompileINFO,このファイルをコンパイル
FilesNotFound,以下のファイルが見つかりませんでした。\nプロジェクトから削除しますか?
TryAgain,見つからないファイルを常に探す([A)
TryAgainINFO,ファイルが見つからない時に、ダイアログを常に表示
TryToLocalizeFile,ファイルが見つかりません。 場所を指定してください。
Localize,ファイルの場所を探す([L)...
EditorFileTranslation,ファイル変換([T)
EditorFileTranslationAutoINFO,現在のプラットフォームに基づいてファイルを保存
EditorFileTranslationUnixINFO,ファイルを UNIX フォーマットで保存
EditorFileTranslationWindowsINFO,ファイルを Windows フォーマットで保存
EditorFileTranslationCRINFO,ファイルをCR のみで保存
EditorFileTranslationKeepINFO,ファイルを元のフォーマットで保存
KeepLF,変換しない
AutoLF,自動
UNIXLF,UNIX
WindowsCRLF,Windows
MacintoshCR,Macintosh
CannotSaveIncludeDirectories,Source-Navigator がインクルード ディレクトリを保存できません。
LocateIncludeFiles,ヘッダーを探す([D)
LocateIncludeFilesINFO,ヘッダー ファイルを探す (時間がかかる場合があります)。
NowPrintingPage,%d ページを印刷中
NowPrinting,印刷中...
EditorTranslateTabs,タブをスペースに変換([B)
EditorTranslateTabsINFO,タブをスペースで置換
CannotFindDllLibrary,PostScript フォーマットで印刷するには %s' ライブラリが必要です。\n印刷はキャンセルされました。
PrintSelection,ファイル全体を印刷しますか?
OlderProjectOpened,このプロジェクトは古いバージョンの Source-Navigator で作成されています。\nプロジェクトを再度パーサーで処理する必要があります。 設定が一部失われる可能性があります。
NewerProjectCannotBeOpened,このプロジェクトは新しいバージョンの Source-Navigator で作成されています。 アップグレードするには\nsn-support@cygnus.co.jp にご連絡ください。
UnableToReparse,Source-Navigator はこのプロジェクトを再度パーサー処理することができません。 再ビルドが必要です。
CurrentLinesOfSourceCode,プロジェクトには %s 行のコードがあります。
ScanningCanceld,スキャンを停止してよろしいですか?
DatabaseFilesCouldNotBeDeleted,Source-Navigator は古いデータベース ファイルを削除できませんでした。\n処理を続けますか?
WrongProjectName,プロジェクト名 '%s' は有効ではありません
WrongDatabaseDirectory,データベース ディレクトリ名 '%s' は有効ではありません
SplashCopyrightText,Copyright (c) 2007-2011 Sourcenav NG Development Group
SplashSubCopyrightText,(c) 1990-2009 Oracle.\n(c) 1997-2000 Red Hat, Inc.\n(c) 1989-1994 The Regents of the University of California.\n(c) 1994 The Australian National University.\n(c) 1994-1997 Sun Microsystems, Inc.\n(c) 1993 AT&T Bell Laboratories.
SplashAllRightsReserved,Released under GPL.\nAll rights reserved. Source-NavigatorTM, the Source-NavigatorTM ロゴ および Red Hat, Inc. ロゴは米国 Cygnus Solutions 社の商標です。 その他のすべての製品名は、各社の商標です。
SDK_UnknownRequest,Source-Navigator has received an unregistered request,\nplease verify if the request is authorized.\nThe command received:\n<%s>

#Others tab in Preferences (those not in other places)
Default,デフォルト
General,全般
Standard,標準
Highlighting,ハイライト
Balloon,バルーン ヘルプ
BoldFont,太字フォント
Editor,エディタ
Text,テキスト
FunctionsNoKey,関数
FunctionsDecNoKey,関数宣言
SubroutinesNoKey,サブルーチン
Comments,コメント
Keywords,キーワード
ClassesNoKey,クラス
EnumConsNoKey,列挙定数
MethodsNoKey,メソッド
FriendsNoKey,フレンド
MethodImpsNoKey,メソッドの実装
ClassVarsNoKey,インスタンス変数
VariablesNoKey,変数
ConstantsNoKey,定数
CommonsNoKey,共有
CommonsVarsNoKey,共有変数
DefinesNoKey,マクロ
Brackets,かっこ
HierarchyNoKey,階層
AbstractClass,抽象クラス
CrossReference,クロスリファレンス
StandardFont,標準フォント
BranchFont,ブランチ フォント
IncludeNoKey,インクルード
OthersNoKey,その他
Drawing,描画
LinesTo,参照先行
LinesBy,参照元行
SelectedLines,選択行
BranchToLines,ブランチの参照先行
BranchByLines,ブランチの参照元行
Listing,結果リスト
FoundText,検索結果
Checkbutton,チェックボタン
UnionsNoKey,ユニオン
ClassNoKey,クラス

#Ide strings
BuildTargetManager,??? [Build Setup...
#target manager (gui/targetmgr.tcl)
IDETargetMgrTitle,Build Settings
IDETMBuildTargets,[Build Targets:
IDETMCreateTarget,[Create
IDETMCopyTarget,D[uplicate
IDETMRenameTarget,[Rename
IDETMEditTarget,[Edit
IDETMDeleteTarget,[Delete
IDETargetMgrDone,D[one

#target editor
IDETargetEdTitle,Edit Target:
IDETEBuildDir,Build [Directory:
IDETETargetType,[Target Type:
IDETEToolChain,Tool [Chain:
IDETEOK,OK
IDETECancel,Cancel

#target editor -> Source Files page
IDETESourceFilesTab,[Source Files
IDETEAddFiles,> [Add Files >
IDETEProjectFiles,Project Files:
IDETETargetFile,Target Files:
IDETEClearFile,Cl[ear
IDETEClearAllFiles,Clear All
IDETEImportLabel,Import:
IDETEImportFiles,Files
IDETEImportDir,Directory

#target editor -> Libs page
IDETELibraryFileTab,[Library Files
IDETELibraryLabel,Libraries:
IDETEAddLib,[Add...
IDETERemoveLib,R[emove
IDETEMoveUp,Move [Up
IDETEMoveDown,Move Dow[n

#target editor -> Build rules tab
IDETEBuildRulesTab,[Build Rules
IDETEBuildRuleDisable,Disabl[e
IDETEBuildRuleEnable,Enabl[e
IDETEBuildRuleEdit,"Ed[it Rule"

#target editor -> Link Rules tab
IDETELinkRulesTab,Link [Rules
IDETELinkOutputFile,[Output File:
IDETELinkFlags,Link [flags:
IDETELinkerExe,Li[nker:
IDETELaunchSettingsLabel,Debug/Execute Settings:
IDETELaunchCommand,Command to launch Application:
IDETELaunchDebug,Debu[g
IDETELaunchExecute,[Execute

#Build Rule settings.
IDEBuildRuleTitle,Build Rule Settings
IDEBRSettingsTab,[Settings
IDEBRIncludesTab,[Includes
IDEBRDefinesTab,[Defines
IDEBROK,OK
IDEBRCancel,Cancel
#Settings tab
IDEBRDebugCombo,Debug:
IDEBROptimizationCombo,Optimization:
IDEBRWarningCombo,Warnings:
IDEBRCodeGenCombo,Code Generation:
IDEBRUserFlags,User Flags:
IDEBRExecLocation,Executable:
#Includes tab
IDEBRAutoGenPathsLabel,Auto-Generated Include Paths:
IDEBRUserGenPathsLabel,User Specified Include Paths:
IDEBRGeneratePaths,[Generate
IDEBRDeletePath,D[elete
IDEBRAddPath,[Add...
#defines tab
IDEBRMacroDefinesLabel,Macro defines:
IDEBRDeleteMacro,D[elete
IDEBRCreateMacro,[New
IDEBRChangeMacro,[Change
ElixMinix,???? RAM Disk / Minix
ElixKernelModuleList,???? Module Options
ElixTarget,???? Target
ElixTargetname,???? Target Hostname
ElixTargetport,???? Target Port
ElixTargetKernel,???? Kernel
ElixTargetDHCP,???? DHCP
ElixTargetStatic,???? Static
ElixTargetIP,???? Networking IP
ElixTargetStaticIP,???? IP Address
ElixTargetStaticMask,???? Mask
ElixTargetStaticBroadcast,???? Broadcast
ElixTargetStaticGateway,???? Gateway
ElixTargetHostname,???? Hostname
SaveBufferAs,???? Save Buffer As
ElixPortnumber,???? Port Number
ElixSerial,???? Serial
ElixBlocks,???? Blocks
IncludeLaunch,???? Launch Include Browser for selected file
GrepCanceledString,???? *** CANCELED ***
BrowseProj,???? [Browse...
ElixAbsolute,???? Absolute Size
ElixKernel,???? Kernel
ElixKernelArgs,???? Arguments
ElixKernelImage,???? Image
ElixKernelSources,???? Source Path
ElixKernelModules,???? Modules
ElixKernelAll,???? All Modules
ElixKernelMonolithic,???? Monolithic
ElixKernelSome,???? Named Modules
GrepFileDoesNotExist,???? File does not exist
BuildMenuItem,???? [Build
ElixRelative,???? Relative Size
ElixFilesysBootimage,???? Boot Image
ElixFilesysMinixPath,???? Template Directory
ElixFilesysNFSPath,???? Root Directory
ErrorImportFileIsADirectory,???? Error while opening import file, %s is a directory.
ErrorInvalidProjectFile,???? Error while opening project.  Please check that %s is a valid project file.
IDETELinkEntryPoint,???? Entry Point:
ErrorOccured,???? An error has occured:
GrepTruncatedString,???? *** TRUNCATED ***
ButtonDismiss,???? Dismiss
ElixHostport,???? Host Port
ErrorImportFileDoesNotExists,???? Error while opening import file, %s does not exist.
ElixDebug,???? Debugging
MultiGrepMaxMatches,???? Find f[irst:
ElixSpeed,???? Speed (bps)
ElixEthernet,???? Ethernet
ElixInodes,???? Inodes
DiscardNotSupported,???? This version control system does not have a command to discard changes.
ElixFilesys,???? Filesystem
ElixFilesysROMPath,???? Template Directory
RCSRelativePathWarning,???? Error while deriving relative pathname.
ElixNFS,???? NFS Root
ElixROMfs,???? RAM Disk / ROMfs
ElixPreferences,???? ED[K Preferences...
ElixExtra,???? Extra Space (Percentage)
WaitForStatistics,???? Statistics are being calculated. Please Wait.
ElixMounts,???? Mount Points
